"","lambda_","beta_0","beta_1","dev_ratio","df","npasses","name","cvm","cvsd","nzero","best_lambda","best_beta_0","best_beta_1"
"185",0.0742377163526411,0,0.00104819812451878,NA,NA,NA,"cvglmnet_basic",0.0644473544394568,0.00409914455995182,1,0.00260662856837461,0,0.00135288640939808
"186",0.0676426422454533,0,0.00107507705502636,NA,NA,NA,"cvglmnet_basic",0.0633426464091397,0.00394449542662496,1,0.00260662856837461,0,0.00135288640939808
"187",0.0616334563446414,0,0.00109975347358139,NA,NA,NA,"cvglmnet_basic",0.062418376837511,0.00380563174991472,1,0.00260662856837461,0,0.00135288640939808
"188",0.056158109956773,0,0.00112239676074402,NA,NA,NA,"cvglmnet_basic",0.0616454379561605,0.00368086858619318,1,0.00260662856837461,0,0.00135288640939808
"189",0.0511691782508835,0,0.00114316456793285,NA,NA,NA,"cvglmnet_basic",0.0609993460158568,0.0035687120534031,1,0.00260662856837461,0,0.00135288640939808
"190",0.0466234494872794,0,0.00116220354198196,NA,NA,NA,"cvglmnet_basic",0.0604595186983276,0.00346783506555207,1,0.00260662856837461,0,0.00135288640939808
"191",0.0424815507381216,0,0.00117964998823242,NA,NA,NA,"cvglmnet_basic",0.0600086641598481,0.0033770568393656,1,0.00260662856837461,0,0.00135288640939808
"192",0.0387076068579607,0,0.00119563048720861,NA,NA,NA,"cvglmnet_basic",0.0596322642957984,0.0032953254405734,1,0.00260662856837461,0,0.00135288640939808
"193",0.0352689297503901,0,0.00121026247509266,NA,NA,NA,"cvglmnet_basic",0.0593181377065403,0.0032217027957158,1,0.00260662856837461,0,0.00135288640939808
"194",0.0321357352393934,0,0.00122365479471769,NA,NA,NA,"cvglmnet_basic",0.0590560701790543,0.00315535172057371,1,0.00260662856837461,0,0.00135288640939808
"195",0.0292808850930604,0,0.00123590822132686,NA,NA,NA,"cvglmnet_basic",0.0588375024075547,0.00309552461460771,1,0.00260662856837461,0,0.00135288640939808
